#Coord for fullerene
60 atoms
1 atom types

0 10.00000 xlo xhi
0 10.00000 ylo yhi
0 10.00000 zlo zhi

Masses

1 12.0107

Atoms

1 1 0  8.393362 5.601346 4.688575
2 1 0  8.393783 4.315589 5.234898
3 1 0  1.506611 5.601348 4.688592
4 1 0  1.506196 4.315590 5.234910
5 1 0  5.650434 6.315957 8.179038
6 1 0  4.249547 6.315962 8.179047
7 1 0  5.651251 3.598695 1.738351
8 1 0  4.248695 3.598692 1.738357
9 1 0  4.949981 8.427221 4.252900
10 1 0  4.949978 7.890306 2.963821
11 1 0  4.949986 2.027186 6.956704
12 1 0  4.949979 1.486057 5.669361
13 1 0  7.968380 6.729524 5.489345
14 1 0  7.969176 5.813405 3.324124
15 1 0  7.970256 4.102632 6.598845
16 1 0  7.967800 3.187514 4.433173
17 1 0  1.931586 6.729525 5.489359
18 1 0  1.930784 5.813404 3.324136
19 1 0  1.929718 4.102636 6.598855
20 1 0  1.932163 3.187516 4.433182
21 1 0  6.373837 7.223627 7.306269
22 1 0  6.372784 5.059741 8.218086
23 1 0  3.526139 7.223632 7.306281
24 1 0  3.527194 5.059743 8.218097
25 1 0  6.373951 4.856090 1.699452
26 1 0  6.374454 2.690420 2.612721
27 1 0  3.525998 4.856088 1.699465
28 1 0  3.525494 2.690422 2.612730
29 1 0  6.123521 8.304929 5.098897
30 1 0  3.776449 8.304930 5.098900
31 1 0  6.123332 7.196006 2.465778
32 1 0  3.776627 7.196008 2.465785
33 1 0  6.123256 2.721307 7.455560
34 1 0  3.776721 2.721308 7.455561
35 1 0  6.123809 1.608816 4.823515
36 1 0  3.776151 1.608817 4.823520
37 1 0  7.548139 6.524393 6.808459
38 1 0  7.550251 4.725786 2.546237
39 1 0  7.548394 5.190238 7.372813
40 1 0  7.549749 3.390743 3.111306
41 1 0  2.351830 6.524397 6.808474
42 1 0  2.349704 4.725781 2.546255
43 1 0  2.351578 5.190242 7.372827
44 1 0  2.350205 3.390744 3.111319
45 1 0  5.677835 8.091984 6.461438
46 1 0  5.675495 3.846443 8.258725
47 1 0  4.222141 8.091984 6.461444
48 1 0  4.224485 3.846444 8.258731
49 1 0  5.675717 6.070055 1.661805
50 1 0  5.678225 1.821757 3.459656
51 1 0  4.224235 6.070053 1.661808
52 1 0  4.221724 1.821758 3.459656
53 1 0  7.253868 7.638756 4.618605
54 1 0  2.646092 7.638766 4.618612
55 1 0  7.253267 7.074032 3.278781
56 1 0  2.646686 7.074036 3.278788
57 1 0  7.254207 2.842592 6.644185
58 1 0  2.645761 2.842591 6.644192
59 1 0  7.253501 2.277160 5.304487
60 1 0  2.646458 2.277157 5.304494
